TZoneID	Abbreviation	Name	Offset	OffsetHours	OffsetMinutes
126	GET	Georgia Standard Time	UTC+04	4	0
127	GST	Gulf Standard Time	UTC+04	4	0
128	MUT	Mauritius Time	UTC+04	4	0
129	RET	R?union Time	UTC+04	4	0
130	SAMT	Samara Time	UTC+04	4	0
131	SCT	Seychelles Time	UTC+04	4	0
132	VOLT	Volgograd Time	UTC+04	4	0
133	AFT	Afghanistan Time	UTC+04:30	4	30
134	IRDT	Iran Daylight Time	UTC+04:30	4	30
135	HMT	Heard and McDonald Islands Time	UTC+05	5	0
136	MAWT	Mawson Station Time	UTC+05	5	0
137	EAT	East Africa Time	UTC+03	3	0
138	AST	Arabia Standard Time	UTC+03	3	0
139	WAST	West Africa Summer Time	UTC+02	2	0
140	USZ1	Kaliningrad Time	UTC+02	2	0
141	IBST	International Business Standard Time	UTC+00	0	0
142	UCT	Coordinated Universal Time	UTC+00	0	0
143	UTC	Coordinated Universal Time	UTC+00	0	0
144	WET	Western European Time	UTC+00	0	0
145	Z	Zulu Time (Coordinated Universal Time)	UTC+00	0	0
146	EGST	Eastern Greenland Summer Time	UTC+00	0	0
147	BST	British Summer Time (British Standard Time from Feb 1968 to Oct 1971)	UTC+01	1	0
148	CET	Central European Time	UTC+01	1	0
149	DFT	AIX specific equivalent of Central European Time[6]	UTC+01	1	0
150	IST	Irish Standard Time[7]	UTC+01	1	0
151	MVT	Maldives Time	UTC+05	5	0
152	MET	Middle European Time Same zone as CET	UTC+01	1	0
153	WEDT	Western European Daylight Time	UTC+01	1	0
154	WEST	Western European Summer Time	UTC+01	1	0
155	CAT	Central Africa Time	UTC+02	2	0
156	CEDT	Central European Daylight Time	UTC+02	2	0
157	CEST	Central European Summer Time (Cf. HAEC)	UTC+02	2	0
158	EET	Eastern European Time	UTC+02	2	0
159	HAEC	Heure Avanc?e d'Europe Centrale francised name for CEST	UTC+02	2	0
160	IST	Israel Standard Time	UTC+02	2	0
161	MEST	Middle European Summer Time Same zone as CEST	UTC+02	2	0
162	SAST	South African Standard Time	UTC+02	2	0
163	WAT	West Africa Time	UTC+01	1	0
164	ORAT	Oral Time	UTC+05	5	0
165	PKT	Pakistan Standard Time	UTC+05	5	0
166	TFT	Indian/Kerguelen	UTC+05	5	0
167	BDT	Brunei Time	UTC+08	8	0
168	CHOT	Choibalsan	UTC+08	8	0
169	CIT	Central Indonesia Time	UTC+08	8	0
170	CST	China Standard Time	UTC+08	8	0
171	CT	China time	UTC+08	8	0
172	HKT	Hong Kong Time	UTC+08	8	0
173	IRKT	Irkutsk Time	UTC+08	8	0
174	MST	Malaysia Standard Time	UTC+08	8	0
175	MYT	Malaysia Time	UTC+08	8	0
176	PST	Philippine Standard Time	UTC+08	8	0
177	AWST	Australian Western Standard Time	UTC+08	8	0
178	SGT	Singapore Time	UTC+08	8	0
179	ULAT	Ulaanbaatar Time	UTC+08	8	0
180	WST	Western Standard Time	UTC+08	8	0
181	CWST	Central Western Standard Time (Australia) unofficial	UTC+08:45	8	45
182	AWDT	Australian Western Daylight Time	UTC+09	9	0
183	EIT	Eastern Indonesian Time	UTC+09	9	0
184	JST	Japan Standard Time	UTC+09	9	0
